Aspect,Drainage_D,Amalner_El,Flow_Accum,Flow_Direc,Plan_,Profile_,Slope_Amal,SLF,Stream_Pow,TRI,TPI,TWI,HSG,SM,ndmi,Soil_Textu,pres_seaso,IBI,Building_D,NDISI,SAVi,AWEI,Land_Cover,Geo_,Critical_I,Road_Buffe,Feature_La,Distance_F,Population,X,Y,Target
179.7030029,36.0555,125,2905,1,0,0.64,2.2877901,6.7523398,1160.550049,1.7320499,0.26684,13.7203999,4,660,-0.120432,1,217.6666667,0.12668678,37252600,0.154528,0.133928571,-9.18438E-05,3,6,0,1,3,3551.23999,8147.255616,21.0340312,75.0564736,1
269.9599915,42.4263992,125,18,64,0,0.64,2.2872801,0.883447,7.1894202,1.7320499,0.692116,8.6905003,4,660,-0.211341,1,217.6666667,0.121061411,20342300,0.14851,0.109874909,-9.61108E-05,3,6,0,1,3,2160.439941,8147.255616,21.0323956,75.0519106,1
89.9725037,42.4263992,126,4,4,0,0.64,0.762486,0.116095,0.532338,1,-1.01811,8.4545002,4,660,-0.180379,1,217.6666667,0.123551753,40569900,0.166398,0.213377384,-0.00009888,2,6,0,1,3,3826.050049,8147.255616,21.0342861,75.0566709,1
45.0960007,120.4160004,126,0,64,0.48,-0.8,2.15961,0,0,2,0.572819,5.8035498,4,660,-0.177201,1,217.6666667,0.115456475,31822100,0.152459,0.080465912,-0.00008663,2,6,0,1,3,3531.439941,8147.255616,21.0337144,75.0511261,1
153.5540009,36.0555,125,2907,1,0,0.64,1.7093,4.6244898,867.4869995,1.41421,0.064252,14.0128002,4,660,-0.149369,1,217.6666667,0.123551753,39031700,0.166398,0.153498576,-9.04775E-05,3,6,0,1,3,3547.580078,8147.255616,21.0340575,75.0565878,1
44.9588013,106.3010025,126,3,128,-0.48,0.8,2.1559,0.399518,1.1293401,1.7320499,0.598952,7.1915698,4,660,-0.202667,1,217.6666667,0.114440334,31076500,0.165688,0.243729682,-0.000093105,3,6,0,1,3,3587.110107,8147.255616,21.033355,75.050975,1
-1,22.3607006,125,4,1,0,0,0.0029845,0.0000862,0.0020835,0,-0.763443,13.9976997,4,660,-0.178342,1,217.6666667,0.12136938,21379000,0.161694,0.114272369,-8.33838E-05,3,6,0,1,3,2225.5,8147.255616,21.03262,75.0513242,1
206.6589966,70.710701,125,2896,1,0,0.64,1.71017,4.6205502,864.6459961,1.41421,-0.178197,14.0085001,4,660,-0.123533,1,217.6666667,0.125979714,39982900,0.144349,0.131188659,-0.000105063,3,6,0,1,3,3567.360107,8147.255616,21.0340461,75.0560893,1
224.6900024,70.710701,125,2896,1,0,0,1.07761,4.6205502,1.88097,1,-0.178197,14.0085001,4,660,-0.123533,1,217.6666667,0.125979714,39982900,0.144349,0.131188659,-0.000105063,3,6,0,1,3,3567.360107,8147.255616,21.0340381,75.0560716,1
333.5660095,141.4210052,126,41,128,0,0.64,1.70786,0.840083,12.2245998,1.7320499,0.510466,9.7760897,14,660,-0.21635,1,217.6666667,0.112913769,35591400,0.156832,0.241092459,-8.23575E-05,3,6,0,1,3,3577.75,8147.255616,21.0335406,75.0506555,1
224.6900024,78.1025009,125,10,1,0,0,1.07761,0.262585,1.88097,1,-0.168935,8.8969898,4,660,-0.123533,1,217.6666667,0.125979714,39982900,0.144349,0.131188659,-0.000105063,3,6,0,1,3,3567.360107,8147.255616,21.034049,75.056045,1
333.5660095,141.4210052,126,41,128,0,0.64,1.70786,0.840083,12.2245998,1.7320499,0.510466,9.7760897,14,660,-0.21635,1,217.6666667,0.112913769,35591400,0.156832,0.241092459,-8.23575E-05,3,6,0,1,3,3577.75,8147.255616,21.0335373,75.0506375,1
-1,78.1025009,125,9,1,0,0,0.0094891,0.000536,0.0149052,0,-0.593601,13.5341997,4,660,-0.100048,1,217.6666667,0.12393123,40413300,0.140779,0.180845898,-0.00011082,3,6,0,1,3,3759.870117,8147.255616,21.0339961,75.0559399,1
44.8995018,127.2789993,126,0,128,0,0,1.0756299,0,0,0,0.0178431,6.5009298,14,660,-0.192911,1,217.6666667,0.112455293,34627600,0.158594,0.173416529,-0.000093455,3,6,0,1,3,3392.709961,8147.255616,21.0335914,75.0508306,1
333.5660095,141.4210052,126,41,128,0,0.64,1.70786,0.840083,12.2245998,1.7320499,0.510466,9.7760897,14,660,-0.21635,1,217.6666667,0.112913769,35591400,0.156832,0.241092459,-8.23575E-05,3,6,0,1,3,3577.75,8147.255616,21.0335414,75.0506468,1
